attr,iso_code,year,Column1,data,count
population,222,122,,16077,16130
coal_prod_per_capita,218,121,,6667,13157
coal_production,218,121,,5541,13157
oil_prod_per_capita,129,121,,6072,9804
oil_production,129,121,,4975,9804
gas_prod_per_capita,126,121,,4751,9205
gas_production,126,121,,4228,9205
coal_prod_change_twh,218,120,,4462,12939
oil_prod_change_twh,129,120,,4062,9674
gas_prod_change_twh,126,120,,3535,9079
coal_prod_change_pct,89,120,,5714,6649
oil_prod_change_pct,94,120,,5116,6060
gas_prod_change_pct,87,120,,3976,4725
gdp,166,119,,10733,10733
hydro_electricity,213,57,,3317,7113
nuclear_electricity,213,57,,1506,7113
wind_electricity,213,57,,764,7113
solar_electricity,213,57,,473,7113
hydro_elec_per_capita,212,57,,5507,7112
wind_elec_per_capita,212,57,,1885,7112
nuclear_elec_per_capita,212,57,,1610,7112
solar_elec_per_capita,212,57,,1553,7112
low_carbon_electricity,213,57,,3821,7109
renewables_electricity,213,57,,3592,7109
other_renewable_electricity,213,57,,1428,7109
low_carbon_elec_per_capita,212,57,,5885,7108
renewables_elec_per_capita,212,57,,5882,7108
other_renewables_elec_per_capita,212,57,,3264,7108
energy_per_capita,221,56,,9523,9641
primary_energy_consumption,221,56,,8668,9641
fossil_energy_per_capita,83,56,,4367,4367
oil_energy_per_capita,83,56,,4366,4367
fossil_fuel_consumption,83,56,,4360,4367
oil_share_energy,83,56,,4195,4367
low_carbon_energy_per_capita,83,56,,4000,4367
renewables_energy_per_capita,83,56,,3993,4367
coal_cons_per_capita,83,56,,3919,4367
gas_energy_per_capita,83,56,,3865,4367
hydro_energy_per_capita,83,56,,3801,4367
gas_share_energy,83,56,,3727,4367
low_carbon_consumption,83,56,,3720,4367
renewables_consumption,83,56,,3662,4367
coal_share_energy,83,56,,3635,4367
fossil_share_energy,83,56,,3619,4367
low_carbon_share_energy,83,56,,3614,4367
hydro_consumption,83,56,,3494,4367
renewables_share_energy,83,56,,3477,4367
hydro_share_energy,83,56,,3261,4367
other_renewables_energy_per_capita,83,56,,2456,4367
other_renewable_consumption,83,56,,2012,4367
wind_energy_per_capita,83,56,,1608,4367
nuclear_energy_per_capita,83,56,,1592,4367
nuclear_consumption,83,56,,1533,4367
nuclear_share_energy,83,56,,1479,4367
other_renewables_share_energy,83,56,,1306,4367
solar_energy_per_capita,83,56,,1290,4367
wind_consumption,83,56,,1164,4367
wind_share_energy,83,56,,842,4367
solar_consumption,83,56,,752,4367
solar_share_energy,83,56,,502,4367
oil_consumption,82,56,,4290,4311
gas_consumption,82,56,,3714,4311
coal_consumption,82,56,,3626,4311
energy_cons_change_twh,221,55,,6600,9420
energy_cons_change_pct,219,55,,7544,9307
fossil_cons_change_twh,83,55,,4141,4284
oil_cons_change_twh,83,55,,4080,4284
oil_cons_change_pct,83,55,,3963,4284
fossil_cons_change_pct,83,55,,3878,4284
gas_cons_change_twh,83,55,,3443,4284
low_carbon_cons_change_twh,83,55,,3242,4284
coal_cons_change_twh,83,55,,3180,4284
renewables_cons_change_twh,83,55,,3111,4284
hydro_cons_change_twh,83,55,,2989,4284
nuclear_cons_change_twh,83,55,,1475,4284
other_renewables_cons_change_twh,83,55,,1388,4284
wind_cons_change_twh,83,55,,965,4284
solar_cons_change_twh,83,55,,612,4284
low_carbon_cons_change_pct,83,55,,3681,3918
renewables_cons_change_pct,83,55,,3709,3911
coal_cons_change_pct,79,55,,3612,3840
gas_cons_change_pct,80,55,,3535,3784
hydro_cons_change_pct,74,55,,3560,3734
other_renewables_cons_change_pct,73,55,,2275,2398
nuclear_cons_change_pct,37,55,,1494,1556
energy_per_gdp,166,54,,3200,7159
wind_cons_change_pct,74,42,,1497,1618
electricity_generation,213,37,,3762,5759
per_capita_electricity,212,37,,5753,5758
hydro_share_elec,213,37,,3859,5758
wind_share_elec,213,37,,1306,5758
nuclear_share_elec,213,37,,1232,5758
solar_share_elec,213,37,,973,5758
low_carbon_share_elec,213,37,,4127,5754
renewables_share_elec,213,37,,4095,5754
other_renewables_share_elec,213,37,,2145,5754
fossil_electricity,213,37,,2777,5269
gas_electricity,213,37,,2173,5269
coal_electricity,213,37,,1871,5269
oil_electricity,213,37,,1709,5269
fossil_cons_per_capita,212,37,,5108,5268
oil_elec_per_capita,212,37,,4589,5268
fossil_share_elec,213,37,,3747,5268
oil_share_elec,213,37,,3376,5268
gas_elec_per_capita,212,37,,2920,5268
gas_share_elec,213,37,,2722,5268
coal_elec_per_capita,212,37,,2351,5268
coal_share_elec,213,37,,2268,5268
solar_cons_change_pct,82,37,,1280,1401
electricity_demand,213,32,,2919,4874
biofuel_electricity,213,32,,727,4874
biofuel_elec_per_capita,212,32,,2426,4873
biofuel_share_elec,213,32,,1813,4873
net_elec_imports_share_demand,212,32,,2667,4852
net_elec_imports,212,32,,1338,4852
other_renewable_exc_biofuel_electricity,208,32,,346,4765
other_renewables_elec_per_capita_exc_biofuel,207,32,,585,4764
other_renewables_share_elec_exc_biofuel,208,32,,491,4764
biofuel_cons_per_capita,28,31,,597,868
biofuel_consumption,28,31,,573,868
biofuel_share_energy,28,31,,442,868
biofuel_cons_change_twh,28,30,,536,840
biofuel_cons_change_pct,28,30,,555,569
greenhouse_gas_emissions,213,22,,2044,4514
carbon_intensity_elec,213,22,,3471,4513
